Appellation,Robert,J.Robinson,J.Suckling,Prix
Saint-Emilion,None,17.0,97.0,136.0
Margaux,None,16.0,93.5,40.0
Pessac-Léognan,None,17.0,99.0,162.17
Pomerol,None,None,91.5,29.0
Sauternes,None,None,None,69.58
Saint-Emilion,None,16.5,94.0,37.42
Saint-Emilion,None,16.0,95.0,105.0
Pauillac,None,16.5,95.0,43.67
Haut-Médoc,None,16.0,92.0,22.0
Pessac-Léognan,None,None,92.5,20.64
Pauillac,None,16.5,95.5,193.5
Pessac-Léognan,None,16.0,93.5,28.83
Saint-Emilion,None,16.0,96.0,85.0
Saint-Emilion,None,16.5,96.0,103.67
Médoc,None,16.5,94.0,30.58
Saint-Emilion,None,15.5,95.0,40.0
Pauillac,None,16.5,95.0,61.0
Saint-Julien,None,17.5,98.0,289.0
Pauillac,None,17.0,95.0,143.0
Pessac-Léognan,None,17.5,96.0,335.0
Margaux,None,16.5,95.5,48.0
Margaux,None,None,92.5,25.0
Saint-Julien,None,16.5,96.0,78.0
Saint-Emilion,None,16.0,93.0,34.33
Saint-Emilion,None,16.5,98.5,72.0
Pomerol,None,None,93.0,35.0
Pessac-Léognan,None,None,91.5,23.42
Margaux,None,17.0,95.5,64.83
Saint-Emilion,None,17.0,97.5,132.0
Lalande de Pomerol,None,16.5,95.0,122.0
Sauternes,None,17.0,93.0,55.0
Saint-Emilion,None,None,89.0,69.0
Pauillac,None,15.5,93.0,58.0
Margaux,None,None,96.5,49.0
Pessac-Léognan,None,15.5,95.0,41.0
Pessac-Léognan,None,16.0,92.5,30.0
Pauillac,None,15.0,None,25.0
Margaux,None,None,None,20.83
Saint-Emilion,None,17.5,94.0,415.0
Saint-Julien,None,16.0,93.5,37.2
Saint-Estèphe,None,17.5,98.5,166.0
Saint-Julien,None,16.0,92.5,30.0
Saint-Estèphe,None,16.0,93.0,44.0
Castillon Côtes de Bordeaux,None,16.0,91.5,17.0
Margaux,None,16.5,96.5,60.0
Pauillac,None,16.0,None,48.0
Pessac-Léognan,None,16.5,96.0,175.0
Pomerol,None,None,None,36.0
Pessac-Léognan,None,16.5,95.5,66.0
Pessac-Léognan,None,None,93.0,37.42
Saint-Emilion,None,16.0,93.0,40.58
Saint-Julien,None,16.5,93.5,45.36
Saint-Emilion,None,16.5,94.5,245.0
Saint-Emilion,None,15.5,94.0,37.0
Haut-Médoc,None,16.0,93.5,28.56
Pauillac,None,17.0,94.5,84.0
Saint-Emilion,None,None,96.0,78.0
Margaux,None,16.0,93.5,35.0
Margaux,None,17.0,None,89.0
Saint-Emilion,None,None,91.0,18.0
Margaux,None,16.0,94.0,22.92
Saint-Emilion,None,16.0,94.0,43.0
Pomerol,None,16.0,92.0,75.0
Saint-Emilion,None,17.0,97.5,101.67
Haut-Médoc,None,15.0,91.0,17.5
Saint-Emilion,None,18.0,98.5,571.67
Saint-Julien,None,None,None,21.84
Saint-Emilion,None,15.5,94.0,69.0
Pessac-Léognan,None,16.0,95.5,145.0
Saint-Emilion,None,16.5,95.5,28.0
Saint-Estèphe,None,17.0,95.0,165.0
Pauillac,None,18.5,100.0,895.0
Saint-Julien,None,17.0,96.0,116.0
Haut-Médoc,None,None,90.0,14.5
Fronsac,None,16.5,93.0,22.92
Pessac-Léognan,None,15.5,91.5,15.96
Pauillac,None,16.5,95.5,84.0
Pauillac,None,15.5,91.0,46.0
Margaux,None,16.5,97.0,71.0
Saint-Emilion,None,16.0,95.5,31.67
Bordeaux Blancs Secs,None,None,None,21.67
Pauillac,None,16.0,94.5,36.17
Saint-Emilion,None,16.5,94.0,37.5
Pessac-Léognan,None,16.0,93.0,80.0
Sauternes,None,15.5,92.0,41.0
Pomerol,None,None,95.5,66.0
Pomerol,None,16.0,94.0,80.0
Margaux,None,16.0,96.5,370.0
Saint-Emilion,None,16.0,95.0,122.0
Lalande de Pomerol,None,None,91.5,16.5
Saint-Emilion,None,16.5,92.0,30.0
Saint-Estèphe,None,16.5,94.0,45.0
Saint-Emilion,None,16.5,93.0,41.08
Saint-Emilion,None,16.0,95.0,53.0
Sauternes,None,17.0,None,32.0
Pessac-Léognan,None,15.0,91.0,19.5
Pauillac,None,17.0,96.0,120.0
Saint-Emilion,None,15.5,93.0,53.0
Pessac-Léognan,None,15.5,93.5,38.5
Margaux,None,17.0,96.0,64.0
Barsac,None,17.0,96.0,89.0
Saint-Julien,None,17.5,96.5,85.0
Saint-Estèphe,None,17.0,96.5,115.0
Barsac,None,17.0,94.5,41.5
Haut-Médoc,None,None,92.5,26.04
Pomerol,None,16.0,93.0,89.0
Saint-Estèphe,None,16.0,95.0,199.0
Moulis,None,15.5,90.0,28.0
Sauternes,None,15.5,98.0,70.67
Pomerol,None,None,94.0,98.5
Pauillac,None,17.5,97.0,95.0
Sauternes,None,None,91.0,23.0
Pessac-Léognan,None,15.5,91.5,23.0
Saint-Emilion,None,16.0,92.0,67.0
Pomerol,None,None,89.0,31.0
Haut-Médoc,None,None,None,19.0
Pessac-Léognan,None,16.0,94.0,47.0
Saint-Emilion,None,18.0,99.0,389.0
Saint-Julien,None,16.0,93.5,54.0
Pomerol,None,16.0,91.5,87.0
Margaux,None,16.5,90.5,29.0
Saint-Emilion,None,None,92.0,29.0
Bordeaux Blancs Secs,None,None,None,9.58
Pauillac,None,16.0,95.5,50.4
Saint-Emilion,None,17.0,99.5,136.0
Margaux,None,15.5,92.0,43.08
Saint-Emilion,None,16.5,92.0,49.0
Fronsac,None,None,91.0,19.5
Pomerol,None,16.5,90.5,69.58
Margaux,None,17.0,94.0,57.17
Fronsac,None,None,92.0,24.0
Saint-Emilion,None,None,93.0,30.0
Sauternes,None,None,88.0,25.0
Saint-Julien,None,17.0,96.5,179.0
Saint-Estèphe,None,16.0,93.5,37.2
Pauillac,None,17.5,99.0,192.33
Fronsac,None,None,92.0,20.0
Saint-Emilion,None,16.5,93.0,135.0
Haut-Médoc,None,16.0,90.0,60.0
Pauillac,None,16.0,None,22.7
Saint-Estèphe,None,16.0,94.0,27.83
Haut-Médoc,None,None,None,16.0
Margaux,None,16.5,92.5,27.0
Margaux,None,16.0,92.5,31.0
Saint-Emilion,None,16.5,96.0,88.0
Saint-Julien,None,16.0,95.0,52.0
Pauillac,None,18.0,100.0,1.0
Pessac-Léognan,None,17.0,94.0,70.0
Margaux,None,16.0,92.0,64.0
Saint-Julien,None,17.0,95.5,68.4
Pessac-Léognan,None,15.5,96.5,132.0
Pauillac,None,None,94.0,53.0
Pessac-Léognan,None,16.0,91.5,35.5
Barsac,None,18.0,None,103.0
Saint-Emilion,None,16.5,95.5,384.67
Saint-Estèphe,None,17.5,100.0,535.0
Pessac-Léognan,None,17.5,97.0,180.0
Pomerol,None,None,91.5,26.04
Saint-Emilion,None,16.0,91.5,32.0
Pauillac,None,16.0,92.5,27.0
Saint-Estèphe,None,16.0,94.5,36.5
Saint-Emilion,None,16.0,96.0,79.0
Pomerol,None,15.0,94.0,104.0
Saint-Emilion,None,16.0,92.0,24.5
Pauillac,None,None,92.5,31.92
Pomerol,None,15.5,93.0,43.0
Sauternes,None,19.0,95.0,525.0
Saint-Julien,None,18.0,98.0,319.0
Saint-Emilion,None,17.0,92.0,43.0
Saint-Estèphe,None,16.0,93.5,45.5
Saint-Julien,None,16.5,94.0,79.0
Haut-Médoc,None,None,88.5,19.83
Médoc,None,None,93.0,16.67
Saint-Emilion,None,16.0,94.0,42.0
Pomerol,None,None,92.0,30.0
Pomerol,None,16.0,87.5,27.0
Margaux,None,16.0,94.5,48.0
Margaux,None,17.0,94.5,50.4
Pauillac,None,16.0,95.5,40.0
Pessac-Léognan,None,None,91.5,28.08
Saint-Estèphe,None,16.0,93.0,29.0
Haut-Médoc,None,None,92.0,21.5
Bordeaux Blancs Secs,None,None,93.0,90.0
Sauternes,None,17.0,88.0,49.0
Saint-Julien,None,17.5,95.0,109.17
Sauternes,None,17.5,96.5,75.0
Haut-Médoc,None,16.5,None,294.0
Bordeaux Blancs Secs,None,17.0,None,22.0
Margaux,None,19.0,100.0,1.0
Saint-Emilion,None,None,93.0,33.0
Pessac-Léognan,None,16.5,92.0,33.83
Margaux,None,16.5,95.5,88.0
Pomerol,None,None,94.5,29.0
Saint-Estèphe,None,16.5,91.5,22.68
Pomerol,None,None,90.5,39.0
Saint-Julien,None,18.0,100.0,465.0
Saint-Estèphe,None,16.0,92.5,19.0
Lalande de Pomerol,None,17.0,92.5,18.5
Pomerol,None,17.0,95.5,86.0
Vin de France,None,None,None,25.0
Pomerol,None,16.5,89.5,28.0
Margaux,None,None,91.0,29.5
Canon-Fronsac,None,None,92.5,22.0
Saint-Emilion,None,16.5,95.5,325.0
Pauillac,None,16.5,95.5,69.0
Haut-Médoc,None,None,91.0,16.5
Pauillac,None,17.0,96.0,260.0
Margaux,None,None,89.5,20.0
Pessac-Léognan,None,17.0,92.0,35.33
Saint-Estèphe,None,16.5,93.5,28.0
Pomerol,None,17.0,95.0,135.17
Pessac-Léognan,None,None,92.0,22.0
Saint-Emilion,None,None,91.5,85.0
Pomerol,None,16.5,95.0,100.83
Margaux,None,15.0,90.0,19.5
Saint-Emilion,None,17.5,99.0,519.0
Saint-Estèphe,None,17.0,96.5,46.0
Moulis,None,16.0,89.5,21.17
Saint-Emilion,None,17.0,96.5,390.0
Pauillac,None,None,95.0,56.0
Francs Côtes de Bordeaux,None,None,94.0,43.33
Graves,None,16.0,92.0,18.0
Saint-Emilion,None,16.0,93.0,30.67
Saint-Emilion,None,16.0,93.5,23.76
Saint-Julien,None,16.0,94.5,43.0
Saint-Emilion,None,None,98.0,190.0
Fronsac,None,16.5,94.0,25.0
Pessac-Léognan,None,16.5,97.5,84.83
Pauillac,None,17.0,92.0,48.0
Saint-Estèphe,None,16.0,93.5,24.5
Pessac-Léognan,None,17.5,98.0,380.0
Margaux,None,None,92.0,26.0
Sauternes,None,16.5,None,55.0
Margaux,None,16.0,94.0,133.0
Pessac-Léognan,None,18.0,99.0,440.0
Pauillac,None,18.0,97.0,63.0
Saint-Emilion,None,15.5,96.0,90.0
Pauillac,None,None,None,72.0
Pauillac,None,16.5,94.5,195.0
Médoc,None,16.0,88.0,45.0
Saint-Emilion,None,17.0,94.0,47.83
Saint-Emilion,None,15.5,94.0,70.0
Pomerol,None,16.0,93.5,99.0
Pessac-Léognan,None,19.0,None,390.0
Pessac-Léognan,None,17.0,94.0,52.0
Bordeaux Blancs Secs,None,None,None,27.33
Pessac-Léognan,None,18.0,97.0,105.0
Saint-Julien,None,None,92.0,25.0
Saint-Emilion,None,None,93.0,33.83
Pauillac,None,18.0,93.0,199.0
Saint-Emilion,None,17.0,98.0,599.0
Francs Côtes de Bordeaux,None,None,93.0,20.83
Margaux,None,16.0,96.5,56.17
Saint-Emilion,None,15.5,94.0,40.0
Saint-Julien,None,None,None,24.67
Pessac-Léognan,None,16.0,91.5,18.83
Saint-Estèphe,None,17.5,96.5,117.6
Margaux,None,16.0,94.0,42.0
Pauillac,None,17.0,95.0,57.0
Margaux,None,None,92.0,39.0
Pessac-Léognan,None,None,93.5,22.67
Margaux,None,16.5,97.0,76.0
Saint-Emilion,None,16.0,98.0,89.0
Castillon Côtes de Bordeaux,None,15.5,92.0,23.5
Pauillac,None,17.5,95.0,399.0
Saint-Emilion,None,None,92.0,62.0
Saint-Emilion,None,16.0,92.0,42.0
Bordeaux Blancs Secs,None,None,95.0,143.67
Saint-Julien,None,17.0,96.5,235.0
Pauillac,None,17.5,99.0,275.0
Margaux,None,16.5,93.0,43.0
Pauillac,None,15.5,None,26.0
Saint-Julien,None,16.5,96.0,86.0
Haut-Médoc,None,14.5,92.0,17.17
Pomerol,None,16.5,95.0,111.33
Saint-Julien,None,16.5,94.5,81.6
Saint-Emilion,None,16.0,94.5,28.67
Lalande de Pomerol,None,None,89.0,17.17
Pomerol,None,15.5,95.5,53.0
Sauternes,None,None,None,20.0
Sauternes,None,15.0,None,37.0
Haut-Médoc,None,None,91.0,18.67
Saint-Julien,None,16.5,93.5,49.0
Saint-Emilion,None,16.5,93.0,36.0
Pessac-Léognan,None,None,94.0,24.0
Saint-Emilion,None,None,94.0,41.0
Saint-Emilion,None,17.5,97.0,490.0
Bordeaux Blancs Secs,None,17.0,None,145.0
Pessac-Léognan,None,15.0,None,33.6
Pomerol,None,None,93.0,66.0
Bordeaux,None,17.0,None,20.0
Sauternes,None,15.5,None,44.0
Haut-Médoc,None,15.5,91.5,19.0
Haut-Médoc,None,16.5,93.0,46.0
Pessac-Léognan,None,17.5,98.0,179.0
Saint-Estèphe,None,16.5,94.0,51.0
Margaux,None,17.0,98.0,620.0
Margaux,None,16.5,94.0,49.92
Margaux,None,16.5,93.5,50.4
Pessac-Léognan,None,18.0,100.0,875.0
Margaux,None,None,91.0,24.5
Saint-Estèphe,None,15.5,92.5,33.0
Saint-Estèphe,None,16.5,96.5,85.68
Saint-Emilion,None,16.5,93.5,26.17
Saint-Julien,None,17.0,95.0,109.0
Saint-Emilion,None,16.0,93.0,55.0
Pauillac,None,None,None,33.0
Saint-Estèphe,None,16.5,96.5,118.8
Montagne-Saint-Emilion,None,None,91.5,21.83
Pomerol,None,16.0,95.0,99.0
Saint-Julien,None,18.5,96.0,65.0
Saint-Julien,None,16.5,None,59.9
Saint-Emilion,None,None,91.0,16.0
Pauillac,None,None,92.5,36.67
Pauillac,None,18.0,96.0,99.0
Bordeaux,None,None,None,20.0
Saint-Emilion,None,15.0,93.0,39.0
Sauternes,None,16.0,95.5,77.0
Bordeaux Blancs Secs,None,None,None,62.0
Saint-Estèphe,None,16.0,94.0,39.33
Pessac-Léognan,None,16.0,93.5,36.33
Pomerol,None,15.0,90.5,53.0
Haut-Médoc,None,16.0,93.0,19.5
Saint-Emilion,None,16.0,92.0,47.0
Saint-Emilion,None,17.0,99.0,215.0
Pomerol,None,17.0,96.0,79.0
Saint-Emilion,None,17.0,98.0,119.0
Saint-Emilion,None,15.0,89.5,37.0
Saint-Julien,None,16.5,93.0,106.0
Saint-Julien,None,17.5,97.5,199.0
Vin de France,None,None,None,20.5
Moulis,None,15.5,87.5,32.5
Saint-Emilion,None,None,92.0,26.0
Pauillac,None,16.0,93.5,50.5
Saint-Estèphe,None,None,91.5,33.6
Saint-Julien,None,17.0,92.5,28.56
Margaux,None,16.5,94.0,60.0
Bordeaux Blancs Secs,None,16.0,96.0,159.0
Bordeaux Blancs Secs,None,None,None,20.67
Pomerol,None,None,92.5,35.0
Sauternes,None,17.5,92.0,49.33
Saint-Julien,None,16.5,94.5,67.2
Pessac-Léognan,None,16.0,95.0,118.0
Saint-Emilion,None,None,None,30.0
Barsac,None,16.5,96.0,44.0
Saint-Emilion,None,16.0,95.0,47.0
Médoc,None,16.0,92.0,33.33
Saint-Emilion,None,None,92.0,30.0
Saint-Emilion,None,17.5,97.5,245.0
Saint-Emilion,None,14.0,94.5,101.0
Margaux,None,16.0,93.0,29.0
Pessac-Léognan,None,None,91.5,19.0
Sauternes,None,16.0,93.0,133.0
Pessac-Léognan,None,17.0,93.0,289.0
Pessac-Léognan,None,16.0,99.0,195.0
Saint-Emilion,None,16.0,92.0,50.0
Pomerol,None,None,93.5,27.0
Pomerol,None,16.0,93.0,54.92
Saint-Emilion,None,16.0,95.0,125.0
Saint-Estèphe,None,16.5,94.0,70.0
Saint-Emilion,None,17.5,98.0,388.0
Saint-Emilion,None,None,94.0,46.83
Pomerol,None,None,94.0,78.0
Pauillac,None,17.5,99.0,219.0
Sauternes,None,18.0,99.0,550.0
Bordeaux Supérieur,None,None,90.5,5.42
Margaux,None,15.5,95.0,58.0
Margaux,None,17.5,99.5,524.17
Vin de France,None,None,None,25.0
Moulis,None,16.0,91.5,25.08
Saint-Emilion,None,15.5,94.0,444.0
Montagne-Saint-Emilion,None,15.5,92.0,33.5
Pomerol,None,17.0,96.0,99.0
Margaux,None,17.5,95.0,68.0
Saint-Emilion,None,17.5,98.0,170.0
Saint-Emilion,None,16.0,94.5,78.67
Haut-Médoc,None,15.0,90.0,15.5
Margaux,None,16.5,95.0,54.33
Pessac-Léognan,None,None,93.5,23.0
Fronsac,None,None,90.5,12.0
Sauternes,None,18.0,None,39.0
Pauillac,None,17.0,94.5,53.0
Barsac,None,16.5,93.0,39.0
Haut-Médoc,None,15.5,92.0,35.92
Saint-Julien,None,None,96.5,126.0
Saint-Emilion,None,None,95.0,49.67
Saint-Emilion,None,15.0,92.5,38.0
Saint-Estèphe,None,16.5,94.5,40.0
Margaux,None,18.5,99.0,990.0
Sauternes,None,None,None,30.0
Saint-Emilion,None,16.0,93.5,32.0
Margaux,None,17.0,94.0,55.0
Saint-Julien,None,None,93.0,32.25
Saint-Julien,None,16.5,95.5,55.83
Saint-Emilion,None,14.0,93.0,39.0
Pomerol,None,None,93.5,48.0
Saint-Emilion,None,17.5,97.0,145.0
Margaux,None,15.5,94.0,65.0
Saint-Emilion,None,16.5,98.0,475.0
Saint-Julien,None,18.5,98.0,475.0
Saint-Estèphe,None,17.0,98.0,186.0
Barsac,None,16.5,None,59.0
Saint-Estèphe,None,None,None,1.0
Saint-Emilion,None,16.5,91.0,24.5
Saint-Emilion,None,None,91.5,29.0
Margaux,None,16.5,96.5,177.0
Saint-Emilion,None,None,93.0,35.0
Saint-Emilion,None,17.5,98.0,199.0
Pomerol,None,None,91.0,58.0
Saint-Emilion,None,None,97.0,129.0
Margaux,None,15.5,94.0,48.0
Margaux,None,16.0,None,29.4
Sauternes,None,18.5,99.0,505.0
Pomerol,None,17.5,97.0,129.0
Sauternes,None,None,93.0,25.0
Saint-Emilion,None,16.0,93.0,63.0
Saint-Estèphe,None,17.0,91.0,45.08
Pessac-Léognan,None,17.0,97.5,262.0
Pauillac,None,17.5,96.5,152.33
Saint-Julien,None,None,94.5,38.64
Pauillac,None,16.5,95.0,880.0
Haut-Médoc,None,14.5,90.0,34.0
Saint-Emilion,None,16.5,94.5,100.8
Margaux,None,18.0,99.0,1.0
Sauternes,None,18.0,97.0,79.0
Pomerol,None,None,90.0,95.0
Saint-Estèphe,None,None,89.5,19.0
Saint-Emilion,None,None,91.0,24.0
Graves,None,16.5,90.0,17.5
Sauternes,None,17.0,98.0,70.0
Saint-Emilion,None,15.5,94.0,52.0
Castillon Côtes de Bordeaux,None,16.0,None,22.33
Saint-Emilion,None,16.5,96.5,50.4
Saint-Emilion,None,None,91.0,53.0
Pauillac,None,17.0,93.5,52.0
Saint-Emilion,None,14.5,92.0,87.0
Barsac,None,16.0,94.0,45.0
Saint-Julien,None,16.5,93.5,37.2
Saint-Emilion,None,16.0,91.5,35.0
Saint-Emilion,None,15.5,None,22.67
Saint-Emilion,None,16.5,94.0,761.67
Saint-Julien,None,17.0,97.5,135.48
Saint-Emilion,None,15.5,94.0,72.0
Saint-Emilion,None,None,94.5,51.0
Saint-Julien,None,16.0,None,21.9
Saint-Emilion,None,17.0,96.0,103.0
Sauternes,None,18.0,93.5,105.0
Pauillac,None,17.0,96.0,46.0
Saint-Julien,None,None,None,23.0
Margaux,None,15.5,94.5,22.67
Pessac-Léognan,None,16.0,97.0,49.0
Saint-Emilion,None,16.5,91.5,49.0
Haut-Médoc,None,None,92.0,22.0
Saint-Emilion,None,18.5,98.0,450.0
Pomerol,None,None,96.0,117.5
Pessac-Léognan,None,17.0,98.5,132.83
Saint-Emilion,None,16.0,91.5,27.0
Bordeaux Blancs Secs,None,None,93.0,85.0
Pomerol,None,17.5,97.5,270.0
Margaux,None,16.0,None,90.0
Pauillac,None,16.0,93.5,39.0
Margaux,None,17.0,100.0,990.0
Saint-Estèphe,None,16.0,93.5,20.16
Pauillac,None,16.5,93.5,34.0
Saint-Emilion,None,None,None,210.0
Saint-Emilion,None,16.5,96.0,140.0
Bordeaux Blancs Secs,None,None,None,14.0
Margaux,None,17.0,94.0,120.0
Margaux,None,17.5,97.5,386.4
Vin de France,None,None,None,25.0
Margaux,None,16.0,94.0,27.0
Saint-Emilion,None,16.0,98.0,86.0
Pauillac,None,17.0,None,38.0
Saint-Emilion,None,17.0,93.0,44.0
Pomerol,None,None,None,62.0
Saint-Emilion,None,16.0,94.5,30.33
Saint-Emilion,None,15.0,95.0,115.0
Pomerol,None,16.5,94.5,69.83
Médoc,None,16.0,94.0,37.42
Saint-Emilion,None,None,92.0,42.0
Saint-Emilion,None,15.5,94.5,32.0
Margaux,None,16.5,95.5,58.17
Sauternes,None,None,None,23.0
Margaux,None,None,None,16.8
Saint-Emilion,None,17.0,94.0,655.0
Haut-Médoc,None,15.0,92.5,22.83
Pessac-Léognan,None,19.0,97.0,1.0
Pomerol,None,16.5,95.5,52.33
Saint-Julien,None,15.0,None,50.83
Margaux,None,18.0,100.0,1.0
Haut-Médoc,None,None,None,8.0
Saint-Emilion,None,16.5,94.0,86.0
Pomerol,None,15.5,93.0,84.0
Saint-Emilion,None,16.5,95.5,100.8
Margaux,None,16.5,93.5,67.2
Saint-Emilion,None,None,94.0,35.0
Saint-Emilion,None,15.0,92.0,26.5
Pomerol,None,15.5,92.0,73.0
Bordeaux,None,16.5,None,20.0
Sauternes,None,18.0,97.0,61.0
Pomerol,None,17.0,94.0,76.0
Haut-Médoc,None,16.5,88.0,62.0
Moulis,None,15.0,94.0,36.17
Pomerol,None,None,95.0,72.0
Pomerol,None,None,93.5,36.0
Barsac,None,17.0,89.0,49.0
Saint-Emilion,None,16.5,96.0,110.0
Pomerol,None,None,94.0,65.42
Pauillac,None,17.0,None,114.24
Pauillac,None,None,90.0,24.5
Margaux,None,16.0,93.5,33.6
Saint-Emilion,None,16.5,93.0,54.0
Saint-Emilion,None,16.0,96.0,56.0
Pessac-Léognan,None,16.0,94.5,34.0
Pessac-Léognan,None,16.5,96.0,170.0
Sauternes,None,None,None,35.0
Saint-Julien,None,16.5,98.0,305.0
Pessac-Léognan,None,16.5,93.0,70.0
Haut-Médoc,None,16.0,89.0,39.58
Saint-Emilion,None,15.5,99.0,470.0
Pauillac,None,17.5,97.5,357.6
Margaux,None,16.5,93.5,40.32
Haut-Médoc,None,16.0,92.0,31.6
Saint-Julien,None,15.0,96.5,219.0
Sauternes,None,17.5,95.0,64.0
Pessac-Léognan,None,16.0,95.0,99.0
Pauillac,None,14.0,93.0,45.0
Margaux,None,None,92.0,50.0
Pomerol,None,15.5,93.5,55.8
Haut-Médoc,None,15.5,None,69.0
Margaux,None,None,91.0,19.0
Pomerol,None,15.5,95.0,120.0
Pessac-Léognan,None,None,93.0,23.0
Pessac-Léognan,None,17.5,98.0,132.0
Margaux,None,17.0,96.0,79.17
Saint-Emilion,None,17.0,95.0,450.0
Haut-Médoc,None,16.5,93.0,16.67
Pomerol,None,None,94.5,42.5
Margaux,None,17.0,93.5,40.32
Haut-Médoc,None,14.5,None,21.67
Listrac,None,16.0,90.0,19.0
Saint-Julien,None,None,93.0,58.0
Saint-Emilion,None,17.0,98.0,110.0
Saint-Estèphe,None,16.5,None,26.25
Margaux,None,16.0,93.5,54.0
Pessac-Léognan,None,None,92.5,22.5
Saint-Emilion,None,16.0,92.0,85.0
Haut-Médoc,None,None,89.5,14.83
Haut-Médoc,None,None,None,14.0
Pessac-Léognan,None,None,93.5,60.0
Saint-Emilion,None,18.5,99.0,1.0
Haut-Médoc,None,None,92.0,16.67
Saint-Emilion,None,16.5,None,49.0
Listrac,None,16.5,87.5,19.0
Canon-Fronsac,None,None,91.5,21.0
Pomerol,None,17.0,95.0,290.0
Pauillac,None,16.5,95.5,153.0
Haut-Médoc,None,16.0,93.0,37.0
Saint-Emilion,None,None,None,57.0
Saint-Emilion,None,16.0,93.0,77.0
Pessac-Léognan,None,15.5,97.0,139.0
Margaux,None,None,93.0,22.5
Saint-Emilion,None,16.5,94.0,85.0
Saint-Emilion,None,None,92.0,28.08
Saint-Emilion,None,15.0,None,115.0
Sauternes,None,18.0,None,55.8
Pomerol,None,16.5,97.5,295.0
Saint-Emilion,None,17.5,100.0,1.0
Saint-Emilion,None,17.5,98.0,1.0
Saint-Emilion,None,16.5,96.0,243.33
Margaux,None,16.0,94.0,69.0
Montagne-Saint-Emilion,None,16.5,89.5,26.0
Margaux,None,15.5,94.0,49.0
Haut-Médoc,None,None,92.0,17.0
Saint-Emilion,None,18.5,99.0,925.0
Lalande de Pomerol,None,16.5,91.5,150.0
Margaux,None,17.0,91.5,86.0
Saint-Emilion,None,15.5,93.0,47.0
Puisseguin-Saint-Emilion,None,None,90.0,30.0
Bordeaux Blancs Secs,None,None,None,9.92
Pauillac,None,18.0,100.0,950.0
Saint-Emilion,None,None,91.5,46.0
Margaux,None,None,91.5,25.2
Pomerol,None,16.0,87.5,69.0
Sauternes,None,None,None,42.0
Pomerol,None,17.0,97.0,99.0
Saint-Emilion,None,16.5,94.0,157.0
Saint-Emilion,None,17.0,None,176.83
Saint-Emilion,None,16.5,95.5,290.0
Margaux,None,17.0,95.5,71.67
Sauternes,None,None,89.5,25.5
Pessac-Léognan,None,17.0,97.5,336.0
Saint-Julien,None,16.5,89.5,63.0
Haut-Médoc,None,None,90.5,19.5
Pauillac,None,17.0,96.0,99.0
Pessac-Léognan,None,15.5,94.0,49.0
Margaux,None,None,92.5,22.68
Saint-Emilion,None,15.5,95.0,156.0
Saint-Estèphe,None,15.0,91.0,25.0
Margaux,None,17.5,95.0,94.0
Castillon Côtes de Bordeaux,None,None,90.0,33.0
Saint-Emilion,None,15.0,92.0,195.0
Pomerol,None,15.5,95.0,265.0
Castillon Côtes de Bordeaux,None,16.5,92.5,20.17
Margaux,None,17.5,95.5,81.0
Saint-Emilion,None,None,95.5,131.0
Pessac-Léognan,None,16.0,92.5,28.56
Saint-Emilion,None,17.5,97.5,378.17
Pomerol,None,15.5,94.0,50.0
Saint-Emilion,None,15.0,95.0,210.0
Saint-Emilion,None,16.5,94.0,240.0
Saint-Emilion,None,16.0,95.0,230.0
Saint-Emilion,None,16.0,94.5,34.0
Bordeaux,None,None,89.5,7.56
Saint-Emilion,None,16.0,93.0,26.0
Pomerol,None,15.5,89.0,58.25
Pomerol,None,16.5,96.5,330.0
Pomerol,None,15.5,90.0,49.0
Saint-Emilion,None,16.5,95.0,765.0
Barsac,None,18.0,None,99.83
Saint-Emilion,None,17.5,96.0,1.0
Saint-Emilion,None,16.5,95.0,243.33
Saint-Estèphe,None,17.5,97.0,195.0
Saint-Emilion,None,18.5,100.0,1.0
Pomerol,None,16.5,95.0,75.0
Pomerol,None,16.0,94.0,41.0
Saint-Emilion,None,17.5,98.0,1.0
Saint-Emilion,None,15.5,95.0,199.0
Haut-Médoc,None,15.5,94.0,29.0
Sauternes,None,16.0,93.0,43.0
Saint-Emilion,None,17.0,93.0,1.0
Margaux,None,15.5,92.5,26.4
Pessac-Léognan,None,None,None,58.8
Saint-Emilion,None,18.0,98.0,1.0
Pauillac,None,16.0,96.0,129.0
Pessac-Léognan,None,17.0,95.5,44.94
Saint-Emilion,None,16.5,None,870.0
Saint-Emilion,None,None,94.0,45.75
Pessac-Léognan,None,16.0,94.0,124.0
Saint-Emilion,None,17.5,None,1.0
Pauillac,None,17.0,96.0,350.0
Saint-Emilion,None,None,90.0,460.0
Saint-Emilion,None,15.5,93.0,175.0
Saint-Emilion,None,17.5,89.5,168.33
Pauillac,None,15.0,91.5,38.5
Saint-Emilion,None,16.0,93.0,765.0
Pessac-Léognan,None,16.0,95.5,65.83
Pessac-Léognan,None,17.5,96.0,396.0
Pauillac,None,16.0,95.5,31.2
Saint-Emilion,None,17.5,97.5,252.0
Barsac,None,None,None,61.33
Pomerol,None,None,92.5,59.0
Moulis,None,16.0,91.5,20.16
Pauillac,None,15.0,94.0,40.0
Canon-Fronsac,None,None,92.0,26.0
Saint-Julien,None,None,95.0,61.17
Saint-Emilion,None,18.5,98.0,375.0
Pessac-Léognan,None,15.0,89.5,21.0
Margaux,None,16.0,95.0,261.0
